"PIXEL","GAL_LON","GAL_LAT","WEIGHT","TEMP","TEMP_SIG","RESID_TE"
"0","6.118269E+01","-1.107489E+01","3.288996E-01","2.725238E+00","2.739059E-04","-2.145767E-05"
"1","6.373158E+01","-1.133063E+01","1.005070E+00","2.724657E+00","1.566877E-04","-5.557537E-04"
"2","5.982832E+01","-8.842629E+00","5.662519E-01","2.725100E+00","2.087508E-04","-2.629757E-04"
"3","6.299902E+01","-8.825374E+00","4.262873E-01","2.724960E+00","2.405924E-04","-3.542900E-04"
"4","6.506563E+01","-1.087419E+01","2.177726E-01","2.724637E+00","3.366134E-04","-5.743504E-04"
"5","6.933622E+01","-1.228427E+01","2.876941E-01","2.725099E+00","2.928650E-04","-1.287460E-05"
"6","6.552773E+01","-8.801253E+00","8.502026E-01","2.724953E+00","1.703616E-04","-3.275871E-04"
"7","6.695183E+01","-8.316529E+00","1.744911E-01","2.724944E+00","3.760506E-04","-3.366470E-04"
"8","5.909266E+01","-6.294101E+00","7.217706E-01","2.725555E+00","1.848985E-04","8.177757E-05"
"9","6.189587E+01","-6.388381E+00","6.518700E-01","2.724812E+00","1.945595E-04","-6.120205E-04"
"10","5.808966E+01","-3.797336E+00","6.063058E-01","2.725655E+00","2.017377E-04","6.413460E-05"
"11","6.127606E+01","-3.926937E+00","6.834138E-01","2.725538E+00","1.900164E-04","5.960464E-06"
"12","6.510542E+01","-6.671217E+00","4.508600E-01","2.725163E+00","2.339441E-04","-2.045631E-04"
"13","6.734067E+01","-6.316069E+00","8.290865E-01","2.725208E+00","1.725175E-04","-1.449585E-04"
"14","6.391097E+01","-3.959952E+00","6.784283E-01","2.725513E+00","1.907133E-04","2.121925E-05"
"15","6.716592E+01","-4.383167E+00","4.805632E-01","2.724893E+00","2.265989E-04","-5.393028E-04"
"16","7.145478E+01","-1.290048E+01","3.791837E-02","2.725889E+00","8.066929E-04","8.187294E-04"
"17","7.268808E+01","-1.206317E+01","2.257639E-01","2.725379E+00","3.306022E-04","2.906322E-04"
"18","7.079812E+01","-9.485298E+00","2.094773E-01","2.725281E+00","3.432136E-04","8.416176E-05"
"19","7.276944E+01","-1.003089E+01","1.587692E-01","2.725460E+00","3.942302E-04","3.008842E-04"
"20","7.562383E+01","-1.261027E+01","3.545563E-01","2.725526E+00","2.638095E-04","4.777908E-04"
"21","7.865012E+01","-1.385371E+01","3.408890E-01","2.725428E+00","2.690460E-04","4.370213E-04"
"22","7.527390E+01","-1.004031E+01","2.430021E-01","2.725434E+00","3.186603E-04","2.932549E-04"
"23","7.688742E+01","-9.466557E+00","2.018401E-01","2.725539E+00","3.496466E-04","3.876686E-04"
"24","6.887836E+01","-5.624872E+00","1.526854E-01","2.724951E+00","4.020076E-04","-4.115105E-04"
"25","7.242117E+01","-6.640393E+00","3.056016E-02","2.726063E+00","8.985768E-04","7.746220E-04"
"26","6.921635E+01","-3.669082E+00","6.751131E-01","2.725107E+00","1.911810E-04","-3.309250E-04"
"27","7.116124E+01","-3.330672E+00","1.157504E-01","2.725792E+00","4.617127E-04","3.595352E-04"
"28","7.494508E+01","-6.654513E+00","4.543170E-01","2.725900E+00","2.330524E-04","6.308556E-04"
"29","7.724297E+01","-6.819103E+00","4.239600E-01","2.725475E+00","2.412518E-04","2.257824E-04"
"30","7.495525E+01","-4.494506E+00","1.949599E-02","2.724515E+00","1.125020E-03","-8.389950E-04"
"31","7.629343E+01","-3.669980E+00","1.526978E-01","2.726118E+00","4.019913E-04","7.383823E-04"
"32","5.763955E+01","-1.757553E+00","8.059102E-01","2.726231E+00","1.749805E-04","5.471706E-04"
"33","6.034867E+01","-1.286996E+00","5.091425E-01","2.725940E+00","2.201473E-04","2.830029E-04"
"34","5.734099E+01","9.421112E-02","9.802895E-01","2.725838E+00","1.586558E-04","6.961823E-05"
"35","5.997404E+01","6.947441E-01","9.334776E-01","2.725844E+00","1.625852E-04","9.512901E-05"
"36","6.341683E+01","-1.355796E+00","7.805155E-01","2.725586E+00","1.778043E-04","-2.074242E-05"
"37","6.613665E+01","-1.602548E+00","6.705831E-01","2.725652E+00","1.918257E-04","9.202957E-05"
"38","6.276305E+01","1.010531E+00","6.482813E-01","2.725779E+00","1.950973E-04","5.984306E-05"
"39","6.551468E+01","1.060648E+00","6.202028E-01","2.725994E+00","1.994647E-04","3.108978E-04"
"40","5.681979E+01","2.259906E+00","5.673634E-01","2.725729E+00","2.085462E-04","-1.444817E-04"
"41","5.949302E+01","2.675734E+00","9.797115E-01","2.726138E+00","1.587026E-04","2.930164E-04"
"43","5.912595E+01","4.500859E+00","4.834102E-01","2.726054E+00","2.259306E-04","1.199245E-04"
